氾	66677
亭	66232
公	66142
射	65716
司	65082
宗	64354
肀	63798
或	63725
间	63277
升	63227
厄	62292
行	61007
受	59528
番	58791
敬	58789
同	58457
厷	57979
具	57906
朝	57381
却	56947
乡	56757
录	56517
沉	56386
異	56290
易	56006
訁	55854
寅	55491
丈	55158
卒	54676
夌	54574
刂	54505
夹	54054
黑	53976
建	53691
厃	53253
坐	53009
夗	52737
你	52647
路	52572
阿	52386
臧	51821
圡	51742
戎	51704
昷	51559
邦	51368
高	51171
夆	50836
卂	50791
吴	50515
鬲	49561
尃	49319
知	49239
爭	48440
空	48009
发	47846
既	47756
糸	47598
肃	47362
南	46573
荅	46127
互	45968
刅	45763
从	45736
哥	45569
冡	45544
酋	45175
秀	44665
卓	44187
委	44145
兼	44044
匀	44038
茍	43812
买	43761
瓜	43340
步	42735
客	42644
厈	42605
折	42225
赤	41990
弯	41974
屰	41234
夋	41141
毋	40819
昏	40481
瓦	40183
我	39476
末	39447
老	39299
责	39052
切	39029
卉	38193
觜	37187
巷	37186
若	36858
享	36811
堇	36521
卌	36478
舛	36478
丹	36374
曹	36304
孰	35907
叟	35644
波	35430
廟	35358
代	35042
刃	34684
星	34597
彖	34198
囱	33984
矛	33405
替	33283
乌	33034
卄	32530
串	32362
復	32324
孟	32176
屋	31942
巛	31846
弟	31666
品	31657
票	31627
罢	31433
饣	31402
风	31344
害	31136
臽	30911
臼	30407
黄	30296
釆	30065
乑	29900
镸	29820
将	29505
明	29247
昆	28828
曽	28819
矣	28659
乔	28594
啬	28271
币	28020
并	27945
巟	27504
叀	27318
昌	27037
氶	27021
市	26889
监	26555
彦	26532
丑	26460
顷	26228
冃	26173
兵	26118
卑	25981
度	25191
负	24425
讠	24195
孚	23941
拉	23405
耤	23174
贯	23005
坒	22830
冘	22756
董	22703
任	22631
章	22498
武	22325
氣	22151
灰	22110
叒	21959
育	21790
攵	21790
前	21673
茲	21562
汤	21464
乏	21436
宿	21309
要	21115
豸	21067
苗	20981
匈	20877
何	20712
壴	20641
暴	20612
闰	20548
舍	20528
退	20523
册	20499
奄	20460
呙	20426
尝	20364
聂	20304
焦	20033
黍	19865
卷	19425
帛	19290
尉	19276
乘	19244
尊	19010
匋	18979
乾	18894
亏	18830
荒	18556
复	18459
咠	18415
散	18374
彗	18286
死	18245
冊	17978
连	17762
夷	17507
巽	17467
贲	17425
童	17217
臿	17047
诸	17001
齿	16971
参	16807
需	16780
柬	16763
孛	16717
总	16604
保	16558
岂	16536
妟	16337
夜	16213
厉	16144
甚	16016
衮	15899
左	15858
它	15674
帝	15595
奚	15466
匆	15432
孙	15273
存	15190
疑	15178
盾	15099
贞	14960
旬	14713
朵	14648
危	14635
罒	14499
戒	14398
务	14394
脓	14234
秋	14173
疌	14123
活	14115
然	14011
冒	13666
府	13612
县	13581
家	13568
希	13553
巸	13538
於	13500
耒	13331
寿	13211
鼠	13195
尢	13071
拋	13071
能	13055
朋	13052
奥	12909
罗	12859
忝	12838
光	12819
般	12804
兰	12555
沓	12541
